,latitude,longitude,free_bikes
201,43.656026,-79.385327,12
202,43.645323,-79.395003,12
203,43.677778,-79.405556,4
204,43.641646,-79.375308,18
205,43.646162,-79.378912,1
206,43.687323,-79.304848,1
207,43.668991,-79.379385,12
208,43.6622222,-79.3825,14
209,43.64333333333333,-79.40555555555557,9
210,43.6575,-79.39527777777778,15
211,43.657424,-79.381019,12
212,43.64595,-79.378761,0
213,43.668427,-79.38725,1
214,43.669604,-79.381171,5
215,43.661673,-79.337789,13
216,43.665656,-79.352055,14
217,43.6308933,-79.4722622,15
218,43.6224434,-79.480284,15
219,43.66986,-79.398443,0
220,43.659471,-79.350325,9
221,43.650492,-79.450842,12
222,43.640255,-79.439223,15
223,43.637922,-79.431734,8
224,43.643769,-79.447915,10
225,43.649172,-79.4445087,8
226,43.663912,-79.416124,8
227,43.66587,-79.33443,14
228,43.658816,-79.367318,4
229,43.654004,-79.444792,7
230,43.6397,-79.44865,18
231,43.653809,-79.3595,10
232,43.673768,-79.391253,0
233,43.656638,-79.358749,18
234,43.716652,-79.399993,6
235,43.684261,-79.299332,10
236,43.678685,-79.297974,6
237,43.65143,-79.47779,2
238,43.64976,-79.48477,2
239,43.664182,-79.449066,0
240,43.64407,-79.3929,19
241,43.61868,-79.48674,7
242,43.6442,-79.38702,1
243,43.64283,-79.38409,9
244,43.65182,-79.47421,11
245,43.685569,-79.408019,0
246,43.651678,-79.375233,1
247,43.651838,-79.378743,1
248,43.665221,-79.394009,1
249,43.688148,-79.362101,13
250,43.669232,-79.374495,10
251,43.640075,-79.414156,29
252,43.678285,-79.347346,3
253,43.697139,-79.31469,3
254,43.694826,-79.295208,9
255,43.673118,-79.318651,18
256,43.689293,-79.295895,9
257,43.66908,-79.3149,13
258,43.66073,-79.47149,2
259,43.66189,-79.42679,8
260,43.65389,-79.4675,1
261,43.676697,-79.445029,1
262,43.68114,-79.4277,1
263,43.663148,-79.347938,14
264,43.669813,-79.3335,24
265,43.633537,-79.437461,20
266,43.63632,-79.47307,9
267,43.697819,-79.38786,7
268,43.638426,-79.429142,13
269,43.65988,-79.38279,3
270,43.66842,-79.410585,12
271,43.66402,-79.46418,0
272,43.66686,-79.46526,14
273,43.671278,-79.372127,15
274,43.635023,-79.399505,11
275,43.66834,-79.38235,12
276,43.65263,-79.38766,12
277,43.70547,-79.40355,1
278,43.641675,-79.354006,12
279,43.694341,-79.291416,3
280,43.64422,-79.36927,17
281,43.685924,-79.376304,3
282,43.645215,-79.364898,23
283,43.646677,-79.442741,7
284,43.63855,-79.46693,10
285,43.645599,-79.4657123,1
286,43.674923,-79.430465,2
287,43.684758,-79.316767,2
288,43.66663,-79.38148,18
289,43.685221,-79.294766,10
290,43.635492,-79.398253,28
291,43.63951,-79.383717,14
292,43.641529,-79.386741,5
293,43.6417852,-79.4131148,23
294,43.655766,-79.3802,13
295,43.680466,-79.432522,2
296,43.664088,-79.387095,25
297,43.65917,-79.46997,11
298,43.671535,-79.379173,5
299,43.646734,-79.38301,0
300,43.6662942,-79.4066433,1
301,43.675278,-79.423889,6
302,43.648928,-79.378623,1
303,43.715951,-79.351246,15
304,43.665645,-79.304711,17
305,43.645572,-79.39399,16
306,43.652777,-79.372637,0
307,43.665538,-79.451263,0
308,43.650325,-79.372287,0
309,43.66943,-79.38915,0
310,43.669244,-79.3894,0
311,43.683351,-79.41562,0
312,43.6574766,-79.373446,13
313,43.636611,-79.400042,20
314,43.646552,-79.406468,2
315,43.713524,-79.400162,1
316,43.65003919999999,-79.3733541,2
317,43.653264,-79.382458,6
318,43.663376,-79.392125,1
319,43.660439,-79.385525,9
320,43.659226,-79.390213,0
321,43.65995,-79.38964,0
322,43.661803,-79.389682,0
323,43.660087,-79.385655,1
324,43.6146692,-79.4873148,12
325,43.626265,-79.476723,19
326,43.63771,-79.458173,15
327,43.6390437,-79.4760109,11
328,43.6486599,-79.4376413,5
329,43.6423847,-79.4240277,11
330,43.6702236,-79.4360232,4
331,43.6752732,-79.3778458,11
332,43.645469,-79.411084,13
333,43.6882821,-79.4253856,4
334,43.651603,-79.408346,15
335,43.670206,-79.402643,5
336,43.661559,-79.413845,4
337,43.6560758,-79.393259,3
338,43.6580442,-79.3927404,0
339,43.6568254,-79.3966159,9
340,43.5927419,-79.54033009999999,10
341,43.597082,-79.522768,17
342,43.6171635,-79.4971065,2
343,43.612063,-79.496573,11
344,43.63732,-79.489083,10
345,43.5961692,-79.5160575,2
346,43.613606,-79.4883535,25
347,43.664665,-79.489385,12
348,43.665523,-79.484892,11
349,43.668496,-79.485426,14
350,43.698841,-79.519472,7
351,43.658574,-79.487246,11
352,43.63985,-79.43703,10
353,43.665076,-79.341509,2
354,43.6323994,-79.40978179999999,32
355,43.6935477,-79.3301658,6
356,43.6438036,-79.4770327,3
357,43.65246,-79.413528,8
358,43.6548521,-79.35397680000001,14
359,43.630874,-79.482407,15
360,43.6704403,-79.45328549999999,2
361,43.6535,-79.354068,22
362,43.6617908,-79.361515,12
363,43.649709,-79.364184,16
364,43.666051,-79.374161,17
365,43.7005976,-79.397345,7
366,43.7029672,-79.3979073,2
367,43.68871,-79.39264,1
368,43.6834703,-79.5108942,10
369,43.7696262,-79.5025943,0
370,43.7641485,-79.5012809,6
371,43.76521,-79.491281,2
372,43.7724019,-79.4675395,9
373,43.7781116,-79.467963,1
374,43.707049,-79.40966,1
375,43.711751,-79.378615,2
376,43.732975,-79.40401,1
377,43.660274,-79.398049,9
378,43.699281,-79.318802,4
379,43.696631,-79.297436,4
380,43.650077,-79.391291,15
381,43.6765897,-79.3163022,14
382,43.650745,-79.383633,0
383,43.720233,-79.362092,0
384,43.6926825,-79.441042,4
385,43.7041957,-79.4094472,0
386,43.7078691,-79.39248,4
387,43.5880774,-79.5432067,14
388,43.754978,-79.1971289,6
389,43.6856,-79.3718,4
390,43.637764,-79.345359,18
391,43.6629228,-79.4018451,0
392,43.660296,-79.397107,2
393,43.7805505,-79.1301203,8
394,43.7777114,-79.1659711,10
395,43.779353,-79.193023,8
396,43.747854,-79.199327,10
397,43.7561681,-79.2026694,2
398,43.6002896,-79.5108692,7
399,43.6615467,-79.498398,6
400,43.6632257,-79.4397052,0
401,43.680095,-79.291714,6
402,43.691468,-79.288619,7
403,43.645609,-79.380386,9
404,43.6591666666667,-79.3855555555556,11
405,43.658777,-79.369596,13
406,43.6625395,-79.5030161,7
407,43.7004017,-79.4275305,1
408,43.77953,-79.45233,5
409,43.7774374,-79.4447096,5
410,43.6637403,-79.39806449999999,0
411,43.707045,-79.375437,1
412,43.6495789,-79.3762096,1
413,43.690903,-79.4375028,4
414,43.643253094827294,-79.41230469904167,8
415,43.6029904,-79.4926867,5
416,43.6596299,-79.4799176,11
417,43.6608333,-79.43166666666667,3
418,43.66083333333333,-79.43583333333333,0
419,43.69933,-79.39199,8
420,43.6653032,-79.4701178,11
421,43.6162721,-79.4990363,2
422,43.720645,-79.355474,11
423,43.6641174,-79.4588522,8
424,43.6424558,-79.4296346,2
425,43.6954486,-79.4026176,7
426,43.6850809,-79.3149901,5
427,43.6800218,-79.3405681,3
428,43.7842419,-79.1849889,9
429,43.6451308,-79.36536439999999,14
430,43.6482995,-79.3552533,17
431,43.65637299999999,-79.38781039999999,15
432,43.657838,-79.38631,11
433,43.778015,-79.131911,1
434,43.672079,-79.470171,9
435,43.690237,-79.350119,5
436,43.70942,-79.39139,5
437,43.671389,-79.382919,0
438,43.671561,-79.38117,6
439,43.693256,-79.383238,3
440,43.65412449999999,-79.4636388,6
441,43.680207,-79.339243,0
442,43.6589882,-79.438715,5
443,43.6741219,-79.4352208,3
444,43.6469928,-79.3706665,10
445,43.683884,-79.36647,24
446,43.6578449,-79.3899265,0
447,43.6477785,-79.3847928,0
448,43.6856128,-79.31168269999999,2
449,43.681944,-79.390556,5
450,43.64534,-79.409597,6
451,43.6393107,-79.4408141,15
452,43.68306889999999,-79.279682,10
453,43.6626628,-79.3323698,5
454,43.681114,-79.3373885,1
455,43.638925,-79.4168659,13
456,43.676216,-79.309395,6
457,43.656633,-79.379625,28
458,43.686962,-79.286864,16
459,43.718039,-79.371914,3
460,43.672152,-79.39018,0
461,43.673019,-79.467994,14
462,43.72268,-79.37644,8
463,43.6504218,-79.4407647,6
464,43.68850459999999,-79.3940052,1
465,43.641705,-79.393295,7
466,43.647663,-79.487583,2
467,43.720998,-79.377456,4
468,43.72814640000001,-79.4032194,3
469,43.652327224103,-79.3882538196087,13
470,43.6438602,-79.4227573,7
471,43.64920406876699,-79.49336334201408,26
472,43.6503935,-79.3860211,4
473,43.6399714,-79.39940399999999,15
474,43.68827060022711,-79.43937767081853,6
475,43.6614605,-79.37894570000002,21
476,43.69413548199171,-79.30058718775287,7
477,43.7254665,-79.40115449999999,3
478,43.7083577,-79.39886200000001,7
479,43.63840090000001,-79.4197107,11
480,43.7027268,-79.33368089999999,8
481,43.70567,-79.310554,11
482,43.635,-79.4088888888889,15
483,43.656784782853144,-79.35627385059036,13
484,43.732016,-79.403637,0
485,43.67468857448634,-79.36701962396272,3
486,43.727365488246306,-79.3814254607724,9
487,43.6846177,-79.39245919999999,2
488,43.77345,-79.5002,0
489,43.686442,-79.313404,2
490,43.66402799999999,-79.40297869999999,9
491,43.65049,-79.3873,26
492,43.64134790000001,-79.4013882,23
493,43.64215,-79.377,19
494,43.6392777,-79.4115736,16
495,43.645102,-79.39744979999999,4
496,43.6602021,-79.4342726,2
497,43.644887,-79.45641169999999,15
498,43.680012,-79.34403250000001,9
499,43.637381,-79.406112,11
500,43.63811,-79.397877,22
501,43.64957,-79.432446,5
502,43.6700692,-79.2971326,7
503,43.6559476,-79.37558829999999,13
504,43.6677628,-79.30811709999999,16
505,43.6750806,-79.3068697,10
506,43.6754247,-79.4547813,6
507,43.6409957,-79.40966630000001,19
508,43.6593483,-79.34993659999999,13
509,43.67168,-79.421192,7
510,43.652634,-79.374222,0
511,43.6519501,-79.4060978,8
512,43.6613642,-79.3641171,7
513,43.6808774,-79.3304491,3
514,43.6623658,-79.3413344,16
515,43.6791345,-79.3263159,10
516,43.6478206,-79.3704721,12
517,43.635495,-79.40352209999999,18
518,43.6868681,-79.3110942,9
519,43.678177,-79.435364,2
520,43.6962302,-79.39504339999999,3
521,43.667076,-79.425116,8
522,43.68005,-79.43469,6
523,43.675648,-79.4527619,5
524,43.6677246,-79.4041365,3
525,43.648437,-79.39838,5
526,43.6673,-79.374,6
527,43.6517925,-79.38269509999999,2
528,43.6372958,-79.4423237,5
529,43.6554793,-79.4302462,3
530,43.686352,-79.415894,0
531,43.6442457,-79.41610440000001,19
532,43.7741,-79.5005,1
533,43.683979,-79.410657,0
534,43.6472019,-79.3953394,9
535,43.6513927,-79.35794659999999,13
536,43.6647688,-79.3772602,10
537,43.6506,-79.381285,2
538,43.6408346,-79.3429074,12
539,43.6585504,-79.4497659,0
540,43.6484201,-79.40051919999999,6
541,43.693187,-79.314283,2
542,43.6425791,-79.40011729999999,9
543,43.6469251,-79.3733192,16
544,43.644395,-79.40065430000001,12
545,43.6463574,-79.391206,5
546,43.6682342,-79.3702641,10
547,43.6791876,-79.39071899999999,2
548,43.674446,-79.398331,1
549,43.6501644,-79.48296909999999,14
550,43.6658804,-79.38761010000002,3
551,43.68035,-79.28357,4
552,43.6535052,-79.3667689,16
553,43.702418581463505,-79.2563167072858,6
554,43.68824135931814,-79.27046628033244,7
555,43.691688,-79.265027,3
556,43.697490048103,-79.25655146462776,15
557,43.69401297794256,-79.26257204548136,6
558,43.6929478,-79.28339980000001,6
559,43.6950192,-79.27180659999999,9
560,43.69263249999999,-79.4627536,0
561,43.7105975,-79.2541175,8
562,43.69415,-79.45782580000001,14
563,43.70163,-79.44099,0
564,43.688028,-79.460265,7
565,43.68323,-79.455765,13
566,43.69466,-79.45376999999999,5
567,43.6784834,-79.3513564,2
568,43.65016869999999,-79.4963345,9
569,43.6492,-79.50601999999999,0
570,43.6897656,-79.2939525,3
571,43.6357643,-79.4674917,11
572,43.62369169999999,-79.4838132,10
573,43.648657,-79.458111,7
574,43.671293,-79.380471,7
575,43.699327072589426,-79.4493630391668,1
576,43.63560589999999,-79.4934616,5
577,43.7611741,-79.5114452,11
578,43.7603624,-79.5162777,6
579,43.62313,-79.4918,14
580,43.772445,-79.511912,2
581,43.653359,-79.365023,6
582,43.70643614257429,-79.25104443353288,2
583,43.655972,-79.370638,9
584,43.641952,-79.380723,14
585,43.646552,-79.399586,11
586,43.6591529,-79.3947953,0
587,43.659055,-79.440764,5
588,43.669576,-79.375961,5
589,43.706466,-79.29511,4
590,43.646314469245205,-79.44879407014527,2
591,43.65222662225532,-79.32295440954084,14
592,43.66526761605873,-79.47502122887077,6
593,43.66554144421798,-79.41010317605742,5
594,43.77649016265579,-79.5085364909097,10
595,43.655431,-79.380653,3
596,43.65351799690878,-79.38591063795928,11
597,43.59119994025076,-79.54449133041076,10
598,43.6544839,-79.34105699999999,8
599,43.65082785552666,-79.39698099821702,6
600,43.673843560032594,-79.46092618902435,6
601,43.647508351306186,-79.38604436555764,0
602,43.71513211098082,-79.33413623320465,11
603,43.71649675774656,-79.33089439933623,8
604,43.715537998967406,-79.32811427663442,8
605,43.70400405297843,-79.34807015078738,14
606,43.719632535237835,-79.33199950866776,9
607,43.70656159598004,-79.36781965092621,5
608,43.70518328279426,-79.34224729962946,10
609,43.70088225686968,-79.38736016665911,1
610,43.68688938028234,-79.40099513147447,1
611,43.63796,-79.387502,8
612,43.65484215542248,-79.40351232494366,3
613,43.6637,-79.400053,0
614,43.662857,-79.44618,9
615,43.788319,-79.123505,19
616,43.643025055165865,-79.39430137761319,19
617,43.7482972,-79.47570569999999,1
618,43.63737145931921,-79.38976958703309,13
619,43.73673829262113,-79.48227195568086,7
620,43.753107,-79.479626,5
621,43.7494501,-79.4869662,2
622,43.637695491830144,-79.42023184193503,11
623,43.64392767366328,-79.3687301736982,20
624,43.650033,-79.396555,21
625,43.639124514797004,-79.41423166721611,16
626,43.640978,-79.376785,7
627,43.658148,-79.398167,1
628,43.663162,-79.309765,12
629,43.67883,-79.408723,0
630,43.640132,-79.380464,8
631,43.6451635,-79.3831757,4
632,43.64817,-79.510392,4
633,43.661324,-79.449534,0
634,43.66496415990742,-79.38355031526893,3
635,43.640741,-79.3798521,2
636,43.663102,-79.373181,11
637,43.6322445,-79.4108105,5
638,43.655103,-79.389295,10
639,43.6563888888889,-79.4091666666667,12
640,43.637894,-79.454823,12
641,43.6525077,-79.4654233,11
642,43.6535269,-79.4650569,7
643,43.652686,-79.358395,13
644,43.666850777484896,-79.38114574756837,4
645,43.661152,-79.358505,13
646,43.659296,-79.358035,9
647,43.667158,-79.402761,7
648,43.69362206784152,-79.27710529695892,11
649,43.72704086366749,-79.24391402446746,7
650,43.63735795888104,-79.43617975886079,6
651,43.73596719224253,-79.21995221481933,5
652,43.7154661,-79.2876595,11
653,43.642904395956684,-79.43746059447746,3
654,43.70688,-79.26850999999999,7
655,43.697356080874876,-79.28528711019696,8
656,43.70960859570095,-79.39915125005619,2
657,43.71176278859601,-79.27028152889692,10
658,43.671771,-79.324961,14
659,43.7110442448186,-79.29127313845584,7
660,43.7032112,-79.2787149,11
661,43.7128578,-79.2487086,9
662,43.7323277855009,-79.22496619876934,4
663,43.669821695059376,-79.39444614603269,1
664,43.645653,-79.464366,8
665,43.649217,-79.465319,10
666,43.72690169821676,-79.22920396582664,7
667,43.67794376009951,-79.39836278587889,1
668,43.64309687937765,-79.42875613770637,6
669,43.655350778457056,-79.38345966759798,19
670,43.6412561641921,-79.41502994047545,14
671,43.6476,-79.4015,10
672,43.6962750705313,-79.39629396191867,0
673,43.70430959999999,-79.3972815,0
674,43.69711160305226,-79.40537298227844,5
675,43.68370788065334,-79.32262453633884,4
676,43.64600446255825,-79.39877642209015,12
677,43.64299174164139,-79.42355911563249,11
678,43.657275497390124,-79.32661544194183,17
679,43.68698672516659,-79.33478198280334,11
680,43.65922918158098,-79.44320901022282,4
681,43.71161098023304,-79.28055565662231,3
682,43.74531103700256,-79.20970650787817,6
683,43.647259,-79.379878,0
684,43.67036917803197,-79.32782698645094,6
685,43.6458569,-79.3853654,12
686,43.6509552,-79.3707,5
687,43.649722,-79.416944,32
688,43.64570236705167,-79.41933192053696,11
689,43.66981064282057,-79.38801106873031,0
690,43.665278,-79.368333,1
691,43.6798678328407,-79.33424613862303,2
692,43.71602024377182,-79.3047092517501,5
693,43.71101621552703,-79.30675743891624,2
694,43.70751755961952,-79.30252066313936,8
695,43.717678679534906,-79.29961580314475,10
696,43.6603874468082,-79.39537831814152,0
697,43.6352007,-79.4187711,5
698,43.6333523484014,-79.41436313073005,13
699,43.636804,-79.408832,1
700,43.781877158752955,-79.41528502874928,2
701,43.70925763810859,-79.44169105036657,0
702,43.70820992643782,-79.45627808717194,11
703,43.70756436685646,-79.46571474966814,6
704,43.68402031135697,-79.45297885330353,4
705,43.766663817888656,-79.18521765344238,0
706,43.62052630763223,-79.48320224237995,12
707,43.59841926031898,-79.51561102394257,1
708,43.645389479325615,-79.5276822170925,4
709,43.645658591546216,-79.52339938954925,7
710,43.59445833196281,-79.53387390859834,0
711,43.62649329992186,-79.50358167641535,9
712,43.60191488118503,-79.49941888654288,1
713,43.64285244644315,-79.53199489206543,1
714,43.650945,-79.379498,0
715,43.70735572654095,-79.43723072209013,0
716,43.60116229109828,-79.50416046627045,1
