,bike_station#,latitude,longitude,free_bikes,num_of_bars,avg_bar_rating,min_bar_dist,num_of_libs,avg_lig_rating,min_lib_dist
79,79,43.676667,-79.416111,0,4,2.875,621.8,1,3.5,644.14
80,80,43.640634,-79.435841,17,20,4.15,83.9,1,3.5,290.75
81,81,43.639444,-79.423611,21,50,3.71,133.66,1,3.5,739.85
82,82,43.67,-79.42083333333333,11,30,4.0,169.83,2,3.25,773.92
83,83,43.671389,-79.416389,8,32,3.78125,326.04,1,4.0,723.2
84,84,43.68,-79.42500000000001,0,10,3.3,187.04,2,3.0,633.56
85,85,43.6394444,-79.42527777777778,15,50,3.68,256.27,1,3.5,607.4
86,86,43.675791,-79.40698,1,18,3.5833333333333335,90.95,2,2.75,922.67
87,87,43.675556,-79.410278,0,10,3.5,312.14,2,2.75,954.72
88,88,43.674444,-79.414722,1,12,3.5416666666666665,556.64,1,3.5,885.28
89,89,43.671513,-79.408317,14,41,3.682926829268293,427.03,4,3.25,515.15
90,90,43.6783213,-79.35822,10,13,3.0384615384615383,198.11,0,,
91,91,43.6848652,-79.356602,10,17,3.1176470588235294,732.65,1,3.5,983.56
92,92,43.68395,-79.347046,8,18,2.9166666666666665,211.9,2,3.75,633.8
93,93,43.690537,-79.341307,3,5,3.4,490.24,1,3.5,666.86
94,94,43.704461,-79.423122,0,2,3.25,595.71,1,3.0,307.66
95,95,43.659195,-79.329196,4,12,4.166666666666667,306.95,1,3.0,868.18
96,96,43.651885,-79.3649,15,28,3.642857142857143,346.13,3,3.3333333333333335,360.96
97,97,43.682645,-79.377557,4,0,,,0,,
98,98,43.6475,-79.43305555555555,4,50,3.97,238.24,1,3.5,696.25
99,99,43.6494896,-79.393535,5,50,3.91,42.42,4,4.25,465.38
100,100,43.671526,-79.44874,1,8,2.9375,627.06,2,3.75,783.49
101,101,43.6452972,-79.3827914,5,50,3.75,32.91,5,4.1,763.74
102,102,43.6452091,-79.3960744,8,50,3.87,26.76,3,4.333333333333333,763.9
103,103,43.6555556,-79.43361111111112,3,50,4.04,328.62,1,4.0,499.47
104,104,43.678077,-79.390328,8,44,3.625,47.42,5,4.1,698.9
105,105,43.645665,-79.415345,15,50,3.9,93.41,0,,
106,106,43.6493472,-79.42668,6,50,3.96,36.18,2,3.75,840.13
107,107,43.660207,-79.361275,24,15,4.066666666666666,135.92,3,2.8333333333333335,581.92
108,108,43.648655,-79.367061,26,46,3.5543478260869565,197.83,3,3.3333333333333335,199.19
109,109,43.648711,-79.389728,22,50,3.89,43.75,7,4.071428571428571,520.6
110,110,43.6605603,-79.3437663,14,36,4.041666666666667,27.53,1,3.5,361.61
111,111,43.6561111,-79.36138888888888,9,23,3.9130434782608696,238.2,3,2.3333333333333335,816.03
112,112,43.652219,-79.354455,26,29,3.913793103448276,169.01,1,3.5,951.24
113,113,43.650279,-79.356832,14,24,3.8125,107.98,0,,
114,114,43.649147,-79.395504,4,50,3.93,36.72,3,4.166666666666667,541.95
115,115,43.643795,-79.375413,14,50,3.55,137.87,4,3.5,649.9
116,116,43.662085,-79.397735,2,50,3.72,249.43,16,3.84375,152.18
117,117,43.659575,-79.365769,14,24,4.020833333333333,214.34,4,3.0,290.21
118,118,43.65205,-79.362198,16,20,3.775,240.57,2,2.5,556.41
119,119,43.668456,-79.393899,0,50,3.69,122.82,18,4.027777777777778,210.58
120,120,43.639052,-79.399792,19,50,3.77,231.38,1,3.5,41.14
121,121,43.6448617,-79.42822,14,50,3.96,251.46,1,3.5,527.85
122,122,43.6409,-79.432837,13,42,3.869047619047619,67.93,1,3.5,60.62
123,123,43.660414,-79.415646,14,50,4.0,377.7,3,4.0,537.56
124,124,43.661975,-79.407896,0,50,3.9,265.64,5,3.4,377.82
125,125,43.65905,-79.422988,5,50,3.9,366.72,2,4.0,477.57
126,126,43.66,-79.4088888888889,4,50,3.87,373.97,4,3.25,608.71
127,127,43.690564,-79.326319,10,17,3.3529411764705883,695.39,2,4.0,322.93
128,128,43.688325,-79.300463,3,2,3.25,30.09,0,,
129,129,43.65716,-79.46478,8,17,3.911764705882353,509.52,1,3.5,690.14
130,130,43.6772,-79.35858,5,12,2.9166666666666665,121.07,0,,
131,131,43.662712,-79.379903,16,50,3.63,45.94,6,4.083333333333333,487.39
132,132,43.658938,-79.383518,15,50,3.6,95.82,10,4.1,223.75
133,133,43.683378,-79.322961,7,17,3.7058823529411766,39.99,2,4.0,135.39
134,134,43.6425636,-79.3762,15,50,3.57,68.2,3,3.3333333333333335,797.46
